xYear,xMonth,State,County,Age_Group,rundatetime,PatCount_Opioid,Population
2025,1,CA,San Luis Obispo,25-44 yrs,07SEP2025:04:03:55,933,"280,493"
2025,1,CA,San Mateo,25-44 yrs,07SEP2025:04:03:55,1578,"737,926"
2025,1,CA,Santa Barbara,25-44 yrs,07SEP2025:04:03:55,1417,"445,342"
2025,1,CA,Santa Clara,25-44 yrs,07SEP2025:04:03:55,4315,"1,952,377"
2025,1,CA,Santa Cruz,25-44 yrs,07SEP2025:04:03:55,790,"293,319"
2025,1,CA,Shasta,25-44 yrs,07SEP2025:04:03:55,880,"186,541"
2025,1,CA,Sierra,25-44 yrs,07SEP2025:04:03:55,5,"2,755"
2025,1,CA,Siskiyou,25-44 yrs,07SEP2025:04:03:55,175,"44,533"
2025,1,CA,Solano,25-44 yrs,07SEP2025:04:03:55,1875,"440,759"
2025,1,CA,Sonoma,25-44 yrs,07SEP2025:04:03:55,1923,"500,203"
2025,1,CA,Stanislaus,25-44 yrs,07SEP2025:04:03:55,2839,"547,424"
2025,1,CA,Sutter,25-44 yrs,07SEP2025:04:03:55,497,"95,364"
2025,1,CA,Tehama,25-44 yrs,07SEP2025:04:03:55,261,"55,078"
2025,1,CA,Trinity,25-44 yrs,07SEP2025:04:03:55,62,"12,562"
2025,1,CA,Tulare,25-44 yrs,07SEP2025:04:03:55,2162,"458,532"
2025,1,CA,Tuolumne,25-44 yrs,07SEP2025:04:03:55,239,"52,508"
2025,1,CA,Ventura,25-44 yrs,07SEP2025:04:03:55,2926,"852,332"
2025,1,CA,Yolo,25-44 yrs,07SEP2025:04:03:55,765,"219,016"
2025,1,CA,Yuba,25-44 yrs,07SEP2025:04:03:55,481,"75,465"
2025,1,CA,Alameda,45-64 yrs,07SEP2025:04:03:55,9823,"1,662,647"
2025,1,CA,Alpine,45-64 yrs,07SEP2025:04:03:55,7,"1,006"
2025,1,CA,Amador,45-64 yrs,07SEP2025:04:03:55,512,"38,522"
2025,1,CA,Butte,45-64 yrs,07SEP2025:04:03:55,2824,"226,231"
2025,1,CA,Calaveras,45-64 yrs,07SEP2025:04:03:55,724,"45,558"
2025,1,CA,Colusa,45-64 yrs,07SEP2025:04:03:55,186,"21,729"
2025,1,CA,Contra Costa,45-64 yrs,07SEP2025:04:03:55,10021,"1,136,283"
2025,1,CA,Del Norte,45-64 yrs,07SEP2025:04:03:55,390,"27,495"
2025,1,CA,El Dorado,45-64 yrs,07SEP2025:04:03:55,2065,"188,491"
2025,1,CA,Fresno,45-64 yrs,07SEP2025:04:03:55,9083,"989,136"
2025,1,CA,Glenn,45-64 yrs,07SEP2025:04:03:55,409,"28,267"
2025,1,CA,Humboldt,45-64 yrs,07SEP2025:04:03:55,1613,"136,041"
2025,1,CA,Imperial,45-64 yrs,07SEP2025:04:03:55,1520,"176,081"
2025,1,CA,Inyo,45-64 yrs,07SEP2025:04:03:55,184,"19,272"
2025,1,CA,Kern,45-64 yrs,07SEP2025:04:03:55,10816,"889,141"
2025,1,CA,Kings,45-64 yrs,07SEP2025:04:03:55,1510,"149,259"
2025,1,CA,Lake,45-64 yrs,07SEP2025:04:03:55,951,"64,223"
2025,1,CA,Lassen,45-64 yrs,07SEP2025:04:03:55,302,"33,006"
2025,1,CA,Los Angeles,45-64 yrs,07SEP2025:04:03:55,60041,10074537
2025,1,CA,Madera,45-64 yrs,07SEP2025:04:03:55,1475,"154,817"
2025,1,CA,Marin,45-64 yrs,07SEP2025:04:03:55,1704,"259,087"
2025,1,CA,Mariposa,45-64 yrs,07SEP2025:04:03:55,190,"16,005"
2025,1,CA,Mendocino,45-64 yrs,07SEP2025:04:03:55,1003,"86,841"
2025,1,CA,Merced,45-64 yrs,07SEP2025:04:03:55,2907,"269,998"
2025,1,CA,Modoc,45-64 yrs,07SEP2025:04:03:55,56,"7,849"
2025,1,CA,Mono,45-64 yrs,07SEP2025:04:03:55,50,"12,753"
2025,1,CA,Monterey,45-64 yrs,07SEP2025:04:03:55,2375,"419,825"
2025,1,CA,Napa,45-64 yrs,07SEP2025:04:03:55,1049,"140,274"
2025,1,CA,Nevada,45-64 yrs,07SEP2025:04:03:55,1026,"96,666"
2025,1,CA,Orange,45-64 yrs,07SEP2025:04:03:55,20903,"3,175,209"
2025,1,CA,Placer,45-64 yrs,07SEP2025:04:03:55,4218,"388,469"
2025,1,CA,Plumas,45-64 yrs,07SEP2025:04:03:55,200,"17,201"
2025,1,CA,Riverside,45-64 yrs,07SEP2025:04:03:55,23697,"2,413,438"
2025,1,CA,Sacramento,45-64 yrs,07SEP2025:04:03:55,15511,"1,526,256"
2025,1,CA,San Benito,45-64 yrs,07SEP2025:04:03:55,448,"58,830"
2025,1,CA,San Bernardino,45-64 yrs,07SEP2025:04:03:55,22788,"2,145,184"
2025,1,CA,San Diego,45-64 yrs,07SEP2025:04:03:55,21694,"3,310,766"
